# GSpot Codec Database for GSpot v2.7
# rev 2.7   Feb 18, 2007
#
[video codecs]
IMJG	Accom SphereOUS MJPEG with Alpha-channel	-	-
IPDV	Giga AVI DV Codec	I-O Data Device, Inc.	-
IPJ2	Image Power JPEG2000	-	-
IR21	Indeo 2.1	Ligos / Indeo / Intel	http://www.ligos.com/
IRAW	Intel YUV Uncompressed	Intel	-
ISME	Intel's next-generation video codec.	Intel Corporation	-
IUYV	Interlaced version of UYVY	http://www.leadtools.com/	-
IV30	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV31	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV32	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV33	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV34	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV35	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV36	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV37	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV38	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV39	Indeo 3.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV40	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV41	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV42	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV43	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV44	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV45	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV46	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV47	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV48	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV49	Indeo 4.x	Ligos / Indeo / Intel	http://www.ligos.com/
IV50	Indeo 5.x	Ligos / Indeo / Intel	http://www.ligos.com/
IY41	Interlaced version of Y41P	LEAD Multimedia	http://www.leadtools.com/
IYU1	12 bit format used in mode 2 of the IEEE 1394 1.04 spec	IEEE standard	-
IYU2	24 bit format used in mode 2 of the IEEE 1394 1.04 spec	IEEE standard	-
IYUV	Planar YUV format (8-bpp Y plane, 8-bpp U and V planes)	*No codec needed	-
JBYR	Kensington Codec	Kensington	-
JFIF	JPEG File Interchange Format	-	-
JPEG	Still Image JPEG DIB	Microsoft 	http://www.microsoft.com
JPG 	JPEG compressed	-	-
JPGL	Pegasus Lossless Motion JPEG	http://www.jpg.com/	-
KMVC	Karl Morton's Video Codec (presumably)	Team17 Software	-
KPCD	Kodak Photo CD	Kodak	http://www.kodak.com
L261	LEAD H.261	LEAD Multimedia	http://www.leadcodecs.com/
L263	LEAD H.263	LEAD Multimedia	http://www.leadcodecs.com/
L264	LEAD H.264	LEAD Multimedia	http://www.leadcodecs.com/
LAGS	Lagarith Lossless	Ben Greenwood	http://lags.leetcode.net/codec.html
LBYR	Creative WebCam	Creative Labs, Inc.	http://www.creative.com/
LCMW	LEAD Motion CMW Codec	LEAD Multimedia	http://www.leadcodecs.com/
LCW2	LEAD MCMW 9Motion Wavelet	LEAD Multimedia	http://www.leadcodecs.com/
LEAD	LEAD Video Codec	LEAD Multimedia	http://www.leadcodecs.com/
LGRY	LEAD Grayscale Image	LEAD Multimedia	http://www.leadcodecs.com/
LIA1	Liafail	Liafail, Inc.	-
LJ2K	LEADTools JPEG2000	LEAD Multimedia	http://www.leadcodecs.com/
LJPG	LEAD MJPEG Codec	LEAD Multimedia	http://www.leadcodecs.com/
LMP2	LEADTools MPEG2	LEAD Multimedia	http://www.leadcodecs.com/
LMRT	Liquid Motion Runtime Control	Microsoft	http://www.microsoft.com
LOCO	LOCO Lossless Codec	-	-
LSCR	LEAD Screen Capture	-	-
LSV0	Reserved.	Infinop Inc.	-
LSVC	Lightning Strike Video Codec	ESPRE Solutions	http://www.espresolutions.com/
LSVM	Lightning Strike Video Codec	ESPRE Solutions	http://www.espresolutions.com/
LSVW	Lightning Strike multi-bitrate	Infinop Inc.	-
LSVX	Lightning Strike Video Codec	ESPRE Solutions	http://www.espresolutions.com/
LX63	LEAD H263 Codec	LEAD Multimedia	http://www.leadcodecs.com/
LZO1	LZO (oberhumer lossless)	oberhumer.com	http://www.oberhumer.com/
M101	Uncompressed field-based YUY2.	Matrox Electronic Systems, Ltd.	-
M261	H.261	Microsoft 	http://www.microsoft.com
M263	H.263	Microsoft 	http://www.microsoft.com
M4CC	ESS MPEG4 Divio codec	-	-
M4S2	Compliant MPEG-4 v2 Simple Profile	Microsoft	http://www.microsoft.com
MC12	Motion Compensation Format	ATI Technologies	http://ati.amd.com/
MC24	MainConcept Motion JPEG	-	-
MCAM	Motion Compensation Format	ATI Technologies	http://ati.amd.com/
MCZM	Theory MicroCosm Lossless 64bit RGB w/alpha	-	-
MDVD	Alex MicroDVD Video (hacked MS MPEG-4)	http://www.tiasoft.de/	-
MDVF	Pinnacle DV/DV50/DVHD100	-	-
MHFY	A.M.Paredes mhuffyYUV (LossLess)	-	-
MJ2C	Morgan Multimedia JPEG 2000	http://www.morgan-multimedia.com/	-
MJP2	Motion JPEG 2000	ISO	-
MJPA	Morgan Motion JPEG Codec	http://www.morgan-multimedia.com	-
MJPB	Morgan Motion JPEG Codec	http://www.morgan-multimedia.com	-
MJPG	Motion JPEG	-	-
MJPX	Pegasus PICVideo Motion JPEG	-	-
ML20	Mimic MSN Messenger Webcam	Logitech/Microsoft	-
MMES	Matrox MPEG-2 I-frame	Matrox	-
MMIF	Matrox MPEG-2 elementary I-frame-only video stream.	Matrox Electronic Systems, Ltd.	-
MNVD	MindBend MindVid LossLess	-	-
MP2A	Media Excel MPEG-2 Audio	-	-
MP2T	Media Excel MPEG-2 Transport Stream	-	-
MP2V	S-Mpeg 4 version 1	Microsoft	http://www.microsoft.com
MP41	Microsoft MPEG-4 V1 (enhanced H263)	Microsoft	http://www.microsoft.com
MP42	S-Mpeg 4 version 2	Microsoft	http://www.microsoft.com
MP43	S-Mpeg 4 version 3	Microsoft	http://www.microsoft.com
MP4A	MPEG-4 Audio	~ISOMP4	-
MP4S	ISO MPEG-4 Video V1	Microsoft	http://www.microsoft.com
MP4T	Media Excel MPEG-4 Transport Stream	-	-
MP4V	MPEG-4 Video	~ISOMP4	-
MPEG	MPEG-1	Chromatic Research	-
MPG1	FFmpeg MPEG 1/2	?	-
MPG2	FFmpeg MPEG 1/2	?	-
MPG3	MS MPEG-4 v3	Microsoft	http://www.microsoft.com
